id|league_name|sport|age_range|location|city|location|announcements
1|Libero Consulting|football|47|Seattle|Washington|-14.20996, -115.69498| 
2|Pretium Aliquet Metus Foundation|baseball|9|Las Vegas|Nevada|9.46141, 113.49053|
3|Aenean Sed Pede Associates|basketball|21|Augusta|Georgia|45.92674, 111.79532|
4|Sociis PC|basketball|59|Tuscaloosa|Alabama|-59.22019, -57.47133|
5|Ridiculus Ltd|basketball|54|Lansing|Michigan|25.54124, -6.08272| 
6|Ipsum Leo LLP|baseball|64|Springfield|Missouri|-4.12545, -109.28234| 
7|Odio Tristique PC|baseball|24|Clarksville|Tennessee|57.31941, 143.33274|
8|Dapibus Incorporated|basketball|84|Savannah|Georgia|72.00875, -18.97703| 
9|At Velit Pellentesque Inc.|soccer|45|Eugene|Oregon|-48.78399, 145.7943|
10|Nibh Sit Limited|basketball|70|Olympia|Washington|-81.81911, -64.55245| 
11|Sit Amet Inc.|basketball|50|Bloomington|Minnesota|-73.48243, 107.73709|
12|Lorem Lorem Corporation|soccer|9|Naperville|Illinois|10.89967, -10.36412|
13|Scelerisque Lorem Ipsum Corporation|basketball|35|Fort Smith|Arkansas|33.53042, -149.18936|
14|Magna Corp.|basketball|8|Gaithersburg|Maryland|35.78902, 71.897|
15|Eu Dolor LLP|baseball|36|Memphis|Tennessee|60.09713, 155.21465| 
16|Diam At Pretium Company|baseball|56|South Burlington|Vermont|-10.03357, 28.27591| 
17|Lorem Vitae Odio Ltd|football|49|Joliet|Illinois|-71.27214, 4.58638| 
18|Imperdiet Consulting|basketball|92|Reno|Nevada|-31.94355, -134.9396| 
19|Mattis Semper Dui Associates|basketball|79|Paradise|Nevada|81.80755, 52.62555| 
20|Nunc Mauris Consulting|baseball|30|Lafayette|Louisiana|52.65885, 36.38928| 
21|At LLP|baseball|49|Aurora|Illinois|42.13906, -137.42163|
22|Consectetuer Institute|soccer|47|San Francisco|California|-46.11574, 139.02368|
23|Tortor Consulting|football|96|Evansville|Indiana|38.62169, 59.59389|
24|Iaculis Company|football|92|Gulfport|Mississippi|26.0243, -47.12593| 
25|Cras Interdum Nunc Company|soccer|11|Henderson|Nevada|-55.77215, 30.11633|
26|Hymenaeos Mauris Ut PC|soccer|57|Juneau|Alaska|23.81417, 8.76014| 
27|Aliquam Iaculis Lacus PC|basketball|71|Anchorage|Alaska|18.47808, -119.46299| 
28|Nisl Nulla LLC|basketball|47|Norman|Oklahoma|52.08968, 153.64566| 
29|Tincidunt Tempus LLP|soccer|26|Louisville|Kentucky|65.02198, -173.17854|
30|In Magna Phasellus Associates|football|24|Athens|Georgia|25.53441, 144.83562| 
31|Convallis Ante Corporation|football|78|Austin|Texas|-15.88951, -9.85027| 
32|Cursus Purus Nullam Corporation|baseball|60|Rockville|Maryland|-64.75029, 20.43707| 
33|Faucibus Corp.|soccer|18|Naperville|Illinois|-9.60362, -27.90055|
34|Mollis Company|baseball|69|Independence|Missouri|25.24899, -12.34502|
35|Nisi Company|baseball|30|Akron|Ohio|35.5373, 132.76958| 
36|Ridiculus Incorporated|soccer|20|Norman|Oklahoma|-37.82571, 177.92619|
37|Amet Industries|soccer|99|Spokane|Washington|54.77968, -131.23308|
38|Neque LLP|baseball|17|Kenosha|Wisconsin|-79.56126, 160.14313| 
39|At Lacus Quisque Corporation|football|37|Covington|Kentucky|59.49413, -159.80824| 
40|Turpis Associates|football|27|Naperville|Illinois|33.52948, -0.39894|
41|Eu LLC|baseball|86|Rochester|Minnesota|-84.50528, 173.89474|
42|Volutpat Nulla Institute|basketball|90|Louisville|Kentucky|-69.07787, -55.7698|
43|Massa Lobortis Limited|basketball|90|Colorado Springs|Colorado|84.09218, -150.56339|
44|Eu Nibh Foundation|soccer|24|Miami|Florida|74.1995, -27.05062|
45|Metus Corp.|basketball|99|Iowa City|Iowa|74.00745, 170.77036| 
46|Leo Inc.|basketball|20|Indianapolis|Indiana|43.93811, 65.24775| 
47|Ante Iaculis Nec LLP|soccer|40|Kaneohe|Hawaii|82.57764, 21.63199| 
48|Et Magnis Dis Corp.|soccer|18|Auburn|Maine|11.43852, -172.81204| 
49|Tristique Ltd|soccer|70|Chattanooga|Tennessee|34.2596, 44.05715| 
50|Arcu Vestibulum Inc.|soccer|85|Waterbury|Connecticut|-76.11135, 60.32336|
51|Amet Corporation|soccer|51|Gulfport|Mississippi|-88.8264, -40.04631| 
52|Ipsum Donec Sollicitudin Inc.|soccer|94|Flint|Michigan|15.73793, 74.66794|
53|Morbi Non Sapien Incorporated|football|33|Cedar Rapids|Iowa|-61.32984, 124.64532|
54|Eros Non Institute|basketball|40|Kenosha|Wisconsin|30.7795, 79.68383| 
55|Dolor Fusce Mi Industries|baseball|39|Shreveport|Louisiana|-89.42123, -58.7707| 
56|Aliquam Foundation|basketball|12|Gulfport|Mississippi|-45.27148, 91.41837| 
57|Magna Sed Eu Ltd|basketball|80|Grand Island|Nebraska|-75.20857, 70.97497| 
58|Non Dapibus Rutrum Industries|basketball|58|Tucson|Arizona|-47.11419, -42.97506|
59|Sit Amet Limited|football|82|Erie|Pennsylvania|-50.57909, 85.34765| 
60|Faucibus Consulting|basketball|38|San Antonio|Texas|54.39366, 172.33122| 
61|Sem Magna Consulting|basketball|51|Los Angeles|California|44.09744, -23.46585| 
62|Nulla Tempor Associates|football|76|Naperville|Illinois|-76.07839, -122.37248|
63|Amet Risus PC|football|56|Pike Creek|Delaware|79.08618, -55.50922| 
64|Cursus Associates|football|19|New Haven|Connecticut|89.08593, -105.68871|
65|Sem Inc.|soccer|23|Salt Lake City|Utah|46.6863, 179.08699|
66|Magna Industries|soccer|9|Louisville|Kentucky|-16.37169, 58.62257|
67|Et Tristique Pellentesque Company|basketball|62|Montgomery|Alabama|-45.09779, -16.14649|
68|Mauris Morbi Non LLC|soccer|33|Baton Rouge|Louisiana|21.75974, 18.8606| 
69|Nulla Tempor Augue Corporation|football|89|Orlando|Florida|-1.25715, -144.13862| 
70|Odio Associates|basketball|55|Mesa|Arizona|-1.05157, 135.3362|
71|Gravida Aliquam Corporation|baseball|21|Columbus|Ohio|29.70329, -98.96102| 
72|Adipiscing Lacus Incorporated|football|59|Cincinnati|Ohio|75.92597, 28.63595| 
73|Amet Nulla Donec Inc.|baseball|92|Shreveport|Louisiana|68.13521, -99.79603| 
74|Neque PC|soccer|44|Kansas City|Missouri|64.51976, 176.02158|
75|Mauris Ipsum Industries|baseball|97|Kaneohe|Hawaii|48.87275, -74.10607|
76|Dui Cras PC|basketball|16|San Diego|California|46.75898, 60.51032| 
77|Ipsum Phasellus Corporation|soccer|86|Essex|Vermont|-30.37041, -74.1807| 
78|Vitae Diam Proin Limited|baseball|39|Jacksonville|Florida|69.17352, 112.93248|
79|Natoque Industries|football|99|Frankfort|Kentucky|73.72538, 80.20778| 
80|Euismod In Ltd|soccer|96|Augusta|Georgia|-72.29805, 95.27226|
81|Lorem Ac Risus Foundation|basketball|58|Fort Collins|Colorado|30.17994, -136.92947| 
82|Duis Gravida Praesent Corporation|basketball|55|Bangor|Maine|53.31714, 14.3006| 
83|Pellentesque Corporation|baseball|99|Owensboro|Kentucky|-89.34402, -128.0401|
84|Vitae Orci Phasellus Industries|soccer|66|Henderson|Nevada|-61.75902, 21.98037| 
85|Etiam Bibendum Fermentum Associates|soccer|22|Honolulu|Hawaii|-80.50788, -98.52863| 
86|In LLC|baseball|37|Lowell|Massachusetts|67.58368, 24.28586| 
87|Magna Malesuada LLP|football|15|Iowa City|Iowa|37.78795, 110.1776|
88|Odio Etiam Ligula Industries|football|29|Overland Park|Kansas|46.00801, 107.87949|
89|Ac Incorporated|baseball|36|Lawton|Oklahoma|54.10486, 176.86194|
90|Egestas Fusce Aliquet LLC|soccer|47|Chicago|Illinois|-40.22697, -127.83937|
91|Lacus Etiam Bibendum PC|baseball|73|Hillsboro|Oregon|-55.3542, 78.40761| 
92|Vitae Nibh Corp.|baseball|74|Annapolis|Maryland|-21.30541, 155.17036| 
93|Dolor LLC|baseball|21|Hillsboro|Oregon|86.63834, 101.17743| 
94|Urna LLC|basketball|90|Norman|Oklahoma|-61.48804, -56.12934|
95|Urna Nullam Ltd|football|21|Mesa|Arizona|-0.92511, 171.21637| 
96|Cubilia Industries|baseball|24|Topeka|Kansas|-17.83017, -120.48851| 
97|At Velit Cras Inc.|basketball|54|Kailua|Hawaii|-75.28265, 74.1208|
98|Enim Consequat Purus Incorporated|football|53|Dallas|Texas|-35.64465, -11.48514| 
99|Egestas Blandit Nam Institute|soccer|11|Bridgeport|Connecticut|35.07832, -64.33478|
100|Rutrum Lorem Ac Corp.|basketball|11|Joliet|Illinois|84.39571, 132.49424|
